case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-9958,1/11/2026,January 2026,1/4/2026,1335,N CATLIN AVE / N KELLOGG ST,St Johns,2,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.595021808,-122.758383237,7624091,711112,2026
26-99605,4/7/2026,April 2026,4/7/2026,1430,700 BLOCK OF SE 12TH AVE,Buckman West,3,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.517559896,-122.653704772,7650123,682147,2026
26-99606,4/7/2026,April 2026,4/5/2026,650,1900 BLOCK OF SE DIVISION ST,Hosford-Abernethy,3,Property,Burglary,Property,Burglary,Burglary,1,45.504779883,-122.645791043,7652027,677435,2026
26-99636,4/7/2026,April 2026,8/17/2022,0,10800 BLOCK OF NE GLISAN ST,Hazelwood,1,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.526240314,-122.551928672,7676282,684632,2026
26-99645,4/7/2026,April 2026,4/7/2026,1519,3300 BLOCK OF SE 122ND AVE,Powellhurst-Gilbert,1,Property,Burglary,Property,Burglary,Burglary,1,45.498091303,-122.537596871,7679695,674279,2026
26-99651,4/7/2026,April 2026,4/3/2026,1500,2500 BLOCK OF NE SUMNER ST,Concordia,2,Property,Burglary,Property,Burglary,Burglary,1,45.560343150,-122.639651383,7654137,697645,2026
26-9967,1/11/2026,January 2026,1/11/2026,1358,5300 BLOCK OF NE CULLY BLVD,Cully,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.561466153,-122.595356212,7665489,697757,2026
26-99671,4/7/2026,April 2026,4/7/2026,1539,0 BLOCK OF NE 82ND AVE,Montavilla,3,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.523172679,-122.579115410,7669288,683692,2026
26-99674,4/7/2026,April 2026,4/7/2026,1546,100 BLOCK OF SE ALDER ST,Buckman West,3,Property,Burglary,Property,Burglary,Burglary,1,45.517994774,-122.664289953,7647415,682378,2026
26-99682,4/7/2026,April 2026,4/7/2026,1620,2300 BLOCK OF NW WESTOVER RD,Northwest,4,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.524006763,-122.698652674,7638670,684807,2026
26-99686,4/7/2026,April 2026,4/4/2026,1500,8400 BLOCK OF SE FOSTER RD,Lents,1,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.481991928,-122.576653009,7669533,668666,2026
26-99702,4/7/2026,April 2026,4/7/2026,1205,5500 BLOCK OF N INTERSTATE AVE,Overlook,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.563010195,-122.682411799,7643215,698910,2026
26-99755,4/7/2026,April 2026,4/3/2026,1000,1100 BLOCK OF SW WASHINGTON ST,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.521710972,-122.682932012,7642675,683861,2026
26-99787,4/7/2026,April 2026,4/7/2026,1755,100 BLOCK OF N TOMAHAWK ISLAND DR,Hayden Island,2,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.605901293,-122.667168898,7647537,714438,2026
26-99788,4/7/2026,April 2026,4/7/2026,1656,1500 BLOCK OF N SUMNER ST,Overlook,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.560475363,-122.682974365,7643046,697990,2026
26-99825,4/7/2026,April 2026,4/7/2026,1530,4200 BLOCK OF NE HALSEY ST,Hollywood,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.533751401,-122.619696093,7658992,687818,2026
26-99833,4/7/2026,April 2026,4/7/2026,1300,14400 BLOCK OF SE ALDER CT,Centennial,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.517435767,-122.514278549,7685848,681180,2026
26-99856,4/7/2026,April 2026,4/7/2026,1904,NE 102ND AVE / NE HANCOCK ST,Parkrose Heights,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.536293611,-122.558015178,7674816,688336,2026
26-99901,4/7/2026,April 2026,4/7/2026,1948,4100 BLOCK OF N BORTHWICK AVE,Boise,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.553637068,-122.673330916,7645448,695431,2026
26-99953,4/7/2026,April 2026,4/7/2026,2035,SW 10TH AVE / SW WASHINGTON ST,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.521342613,-122.681380058,7643069,683716,2026
26-99970,4/7/2026,April 2026,4/7/2026,1750,4100 BLOCK OF NE SANDY BLVD,Hollywood,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.535564099,-122.621079403,7658655,688488,2026
26-X6131049,1/1/2026,January 2026,1/1/2026,127,,Humboldt,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,,,,,2026
