registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
408617,"PEARL LODGE NO 66, A. F. & A. M.",DOMESTIC NONPROFIT CORPORATION,1879-03-24,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,P O BOX 61,,TURNER,OR,97392
84319,CRESWELL PIONEER CEMETERY,DOMESTIC NONPROFIT CORPORATION,1879-06-16,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 911,,CRESWELL,OR,97426
184614,"THE FIRST CHRISTIAN CHURCH AT PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1879-07-23,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1314 SW PARK AVE,,PORTLAND,OR,97201
459818,THE RIGHT WORTHY GRAND ENCAMPMENT OF THE INDEPENDENT ORDER OF ODD FELLOWS OF THE STATE OF OREGON,DOMESTIC NONPROFIT CORPORATION,1879-07-28,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,10282 SE MAIN ST,,PORTLAND,OR,97222
363614,THE OREGON HUMANE SOCIETY,DOMESTIC NONPROFIT CORPORATION,1880-08-30,PUBLIC BENEFIT,MAILING ADDRESS,1067 NE COLUMBIA BLVD,,PORTLAND,OR,97211
505115,THE SOCIETY OF THE SISTERS OF THE HOLY NAMES OF JESUS AND MARY,DOMESTIC NONPROFIT CORPORATION,1880-11-12,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 398,,MARYLHURST,OR,97036
323519,MULTNOMAH CHAPTER NO 1 ROYAL ARCH MASONS,DOMESTIC NONPROFIT CORPORATION,1881-03-23,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,6143 SHAW HWY SE,,AUMSVILLE,OR,97325
338111,YAMHILL CHRISTIAN CHURCH,DOMESTIC NONPROFIT CORPORATION,1881-04-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,265 W MAIN ST,,YAMHILL,OR,97148
45815,BETHEL CONGREGATIONAL UNITED CHURCH OF CHRIST,DOMESTIC NONPROFIT CORPORATION,1881-08-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,5150 SW WATSON AVE,,BEAVERTON,OR,97005
456715,"RECTOR, WARDENS, AND VESTRY OF THE PARISH OF SAINT DAVID OF WALES",DOMESTIC NONPROFIT CORPORATION,1881-09-03,RELIGIOUS,MAILING ADDRESS,2800 SE HARRISON,,PORTLAND,OR,97214
488312,FIRST IMMANUEL EVANGELICAL LUTHERAN CHURCH,DOMESTIC NONPROFIT CORPORATION,1881-11-18,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1816 NW IRVING STREET,,PORTLAND,OR,97209
185413,UNITED CHURCH OF CHRIST (CONGREGATIONAL) OF FOREST GROVE,DOMESTIC NONPROFIT CORPORATION,1882-05-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 265,,FOREST GROVE,OR,97116
573410,"WILLOW LODGE, NO. 66 OF THE INDEPENDENT ORDER OF ODD FELLOWS",DOMESTIC NONPROFIT CORPORATION,1882-10-14,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 542,,HEPPNER,OR,97836
185611,"THE FIRST BAPTIST CHURCH OF MCMINNVILLE, OREGON",DOMESTIC NONPROFIT CORPORATION,1882-11-16,RELIGIOUS,MAILING ADDRESS,TREASURER,125 SE COWLS ST,MCMINNVILLE,OR,97128
459917,THE RIVER VIEW CEMETERY ASSOCIATION OF PORTLAND,DOMESTIC NONPROFIT CORPORATION,1882-12-13,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,8421 S MACADAM AVE,,PORTLAND,OR,97219
211615,GRACE EPISCOPAL CHURCH,DOMESTIC NONPROFIT CORPORATION,1883-04-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1545 FRANKLIN AVE,,ASTORIA,OR,97103
211714,THE GRAND LODGE OF OREGON KNIGHTS OF PYTHIAS,DOMESTIC NONPROFIT CORPORATION,1883-09-26,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 126,,GASTON,OR,97119
89912,FIRST CHRISTIAN CHURCH OF FOREST GROVE,DOMESTIC NONPROFIT CORPORATION,1883-10-05,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2231 19TH AVE,,FOREST GROVE,OR,97116
186213,FIRST BAPTIST CHURCH OF COOS BAY,DOMESTIC NONPROFIT CORPORATION,1883-10-20,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 38,,COOS BAY,OR,97420
497719,"SPRINGFIELD LODGE, NO. 70 OF THE INDEPENDENT ORDER OF ODD FELLOWS",DOMESTIC NONPROFIT CORPORATION,1883-11-26,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,342 MAIN STREET,,SPRINGFIELD,OR,97477
538819,UNION CEMETERY ASSOCIATION OF FOREST GROVE,DOMESTIC NONPROFIT CORPORATION,1884-03-20,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 334,,FOREST GROVE,OR,97116
456913,RECTOR WARDENS AND VESTRY OF THE PARISH OF ST. PAULS,DOMESTIC NONPROFIT CORPORATION,1884-05-14,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1444 LIBERTY ST SE,,SALEM,OR,97302
183616,"TEMPLE BAPTIST CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1884-07-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1319 NE 7TH AVE,,PORTLAND,OR,97233
24315,THE APOSTOLIC LUTHERAN CHURCH,DOMESTIC NONPROFIT CORPORATION,1884-08-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,92732 FERN HILL RD,,ASTORIA,OR,97103
184010,GRACE CHURCH PORTLAND,DOMESTIC NONPROFIT CORPORATION,1884-10-03,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1431 SW 12TH AVE,,PORTLAND,OR,97201
339614,PEACE FIRST LUTHERAN CHURCH,DOMESTIC NONPROFIT CORPORATION,1884-10-14,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,725 33RD STREET,,ASTORIA,OR,97103
186411,"FIRST BAPTIST CHURCH OF LA GRANDE, UNION COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1885-01-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1110 SPRING AVE,,LA GRANDE,OR,97850
