record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
298607,wikibase,2000-07-28,Friday 28 July 2000,16:37 LT,Boeing 727-2J0 Advanced,Pan Am,N364PA,21107/1172,1975,P&W JT8D-15,0,69,0,Minor,Accident,"Charleston International Airport, SC (CHS/KCHS) -United States of America",Unknown,Passenger - Scheduled,"Orlando, FL (KSFB)","PITTSBURGH, PA (KPIT)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/298607,2000
298715,wikibase,2000-07-10,Monday 10 July 2000,06:45 LT,Cessna 560XL Citation Excel,Health Care System Of America,N868JB,560-5089,2000,P&W 560XL,0,7,0,Substantial,Accident,"NASHVILLE, Tennessee -United States of America",Unknown,Executive,(KBNA),"CHARLESTON     , SC (KJZI)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/298715,2000
298962,wikibase,2000-05-24,Wednesday 24 May 2000,16:40 LT,Boeing 767-281 (PC),ABX Air,N767AX,22785/51,1983,,0,3,0,Substantial,Accident,"Seattle-Boeing Field International Airport, WA (BFI/KBFI) -United States of America",Taxi,Cargo,"Wilmington, Ohio","Seattle-Boeing Field International Airport, WA (BFI/KBFI)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/298962,2000
299021,wikibase,2000-05-09,Tuesday 9 May 2000,08:50 LT,Lockheed L-1011-385-1 TriStar,American Trans Air,N192AT,139C-1057,,Rolls-Royce RB-211-22,0,370,0,Substantial,Accident,"Maui, HI -United States of America",Landing,Passenger - Scheduled,"San Francisco International Airport, CA (SFO/KSFO)",KOGG,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299021,2000
299047,wikibase,2000-05-02,Tuesday 2 May 2000,18:13 LT,Cessna 501 Citation I/SP,Private,N56LW,501-0314,1981,Pratt & Whitney JT15D-1A,0,2,0,Substantial,Accident,"Orlando, Florida -United States of America",Unknown,Private,"Leesburg, FL (KLEE)","Orlando, FL (KMCO)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299047,2000
299156,wikibase,2000-04-05,Wednesday 5 April 2000,14:00 LT,Shorts SC.7 Skyvan,All West Freight,N549WB,1911,1973,Garrett TPE-331,0,1,0,Substantial,Accident,"DELTA JUNCTION, Alaska -United States of America",Unknown,Unknown,"DELTA JUNCTION , AK (D66",,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299156,2000
299215,wikibase,2000-03-20,Monday 20 March 2000,07:31 LT,Dornier 328-100,Air Wisconsin,N329MX,3049,1996,P&W PW119C,0,24,0,Substantial,Accident,"Denver International Airport, CO (DEN/KDEN) -United States of America",Unknown,Passenger - Scheduled,"BISMARCK       , ND (KBIS)","Denver International Airport, CO (DEN/KDEN)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299215,2000
299220,wikibase,2000-03-18,Saturday 18 March 2000,19:10 LT,Beechcraft 1900,Gulfstream International Airlines,N199GA,UB-13,1984,P&W PT6A-65B,0,23,0,Minor,Accident,"MIAMI, Florida -United States of America",Unknown,Unknown,"NASSAU         , OF (MYNN)",(KMIA),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299220,2000
299243,wikibase,2000-03-12,Sunday 12 March 2000,08:40 LT,Learjet 60,Bombardier Aerospace Corp,N240FX,167,1999,P&W PW-305A,0,2,0,Substantial,Accident,"JACKSON, Wyoming -United States of America",Unknown,Executive,"PROVO          , UT (KPVU)",(KJAC),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299243,2000
299270,wikibase,2000-03-04,Saturday 4 March 2000,12:30 LT,Cessna 208B Grand Caravan,Hageland Aviation Services,N407GV,208B0616,1997,P&W PT6-114A,0,1,0,"Substantial, repaired",Accident,"Holy Cross, Alaska (4Z4) -United States of America",En route,Unknown,"Holy Cross, Alaska (4Z4)","Aniak, AK (PANI)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299270,2000
